id,learner_outcome_id,domain_id,domain_name,name,tagline,description,catchphrase,catchphrase_description,definition,definition_headline,resources_url,icon_filename
FK.AC.1,FK,FK.AC,Appreciating and Creating Art,Artistic Expression,Express myself artistically,Produce and engage with creative and artistic expressions,,,"Students explore, create, and appreciate art as a powerful tool for personal and community expression and connection. They develop their own artistic abilities, analyze how art reflects lived experiences, and collaborate to support and produce works that drive social change. This skill set fosters creativity, empathy, and cultural awareness.",,,FK.AC.1_artistic-expression.svg
FK.AC.2,FK,FK.AC,Appreciating and Creating Art,Art Analysis,Appreciate art and art history,Explore and understand current and historical arts and artistic movements,,,"Students recognize the deep connections between art, history, and society. By analyzing artistic movements, techniques, and trends through multiple lenses—cultural, political, mathematical, scientific, and social—–students uncover how art shapes and reflects communities. Learners apply this understanding to create, curate, and evaluate art in ways that inspire their communities.",,,FK.AC.2_art-analysis.svg
FK.SS.1,FK,FK.SS,Social Systems,Governments,Understand governments,"Cultivate, refine, and leverage perspectives on how governments work and how they could be improved",,,"Students explore why governments came to exist, how they function, how individual rights are defined, and how policies shape societies. They understand the historic, philosophical and legal precedents of different government institutions, analyze diverse perspectives, evaluate policy impacts, and advocate for equitable change. These skills prepare students to navigate and influence the complexities of governance, becoming informed citizens and effective leaders in their personal and professional lives.",,,FK.SS.1_governments.svg
FK.SS.2,FK,FK.SS,Social Systems,Politics,Understand political and social power,"See, utilize, and develop strategies to support and/or counteract various mechanisms of political and social power",,,"Students learn to understand and navigate governmental structures, social structures, and economic systems. They analyze power dynamics, differences and similarities among groups, and strategies that drive meaningful change. Learning from social movements of the past, students develop the knowledge, judgment, and leadership skills required to shape the future of their communities and societies.",,,FK.SS.2_politics.svg
FK.SS.3,FK,FK.SS,Social Systems,Economics,Understand economic forces,Leverage an understanding of economics and human relationships to physical resources,,,"Students gain a deep understanding of how economic forces, resource access, and competition shape the world. They explore how individual choices, institutions, and policies impact individual behaviors that, in turn, influence markets, societies, and the environment. Learners examine complex economic concepts such as globalization, resource competition, inflation, employment, and economic inequality. As students analyze these issues, they understand the nature of global economic systems and develop solutions to real-world problems.",,,FK.SS.3_economics.svg
FK.SS.4,FK,FK.SS,Social Systems,Cultures,Understand different cultures,Explore and understand cultures other than my own,,,"Students explore the world’s cultures, learning about different cultures' historical and global connections. They apply formal methods of inquiry to analyze both the historical origins and present-day function of cultures. Students evaluate critical modern challenges from diverse viewpoints and in a global context. Ultimately, students make informed, culturally aware decisions and advocate for their community and others.",,,FK.SS.4_cultures.svg
FL.ID.1,FL,FL.ID,Communicating and Receiving Ideas,Making Meaning,Interpret information from many sources,Interpret meaning from a variety of information sources,,,"In order to make meaning, students gather and synthesize information from multiple sources and disciplines, sorting and focusing on relevant content. They assess information generated in response to their own probing questions, and refine their questions accordingly. When they evaluate information, they understand the quality of their inputs drives the rigor of their interpretations.",,,FL.ID.1_making-meaning.svg
FL.ID.2,FL,FL.ID,Communicating and Receiving Ideas,Persuasive Communication,Inform and persuade others,"Inform and persuade diverse audiences by illustrating ideas, experiences, and information","Convince, Advocate, and Inspire",Communicating persuasively means making your point in a way that inspires and convinces others.,"Persuasive communication is the strategic blend of logic, credibility, and emotion. More than choosing the right words, it involves connecting deeply with your audience to turn information into influence and ideas into action. Mastering this competency means mastering the art of crafting messages that resonate and endure.",What is Persuasive Communication?,,FL.ID.2_persuasive-communication.svg
FL.ID.3,FL,FL.ID,Communicating and Receiving Ideas,Critical Dialogue,Make and support arguments,"Create arguments, support my claims, and engage in critical dialogue",,,"Learners question their own and others' reasoning with curiosity and kindness to explore different perspectives. They concisely explain their thought processes and respond to clarifying questions to deepen understanding. Using evidence and reasoning, learners design and justify claims, explaining how evidence supports causal links and refutes alternatives. Additionally, they provide constructive critique to enhance their own and others' understanding.",,,FL.ID.3_critical-dialogue.svg
FL.MST.1,FL,FL.MST,Mathematical and Scientific Thinking,Computational Thinking,Use math to solve problems,Use mathematical tools and computational thinking to solve problems strategically,,,"Students think critically and solve problems creatively by understanding and leveraging computational tools. They express quantities in multiple ways, break down complex problems into simpler forms, analyze patterns for shortcuts and precision, and verify their results with different methods. As adaptable thinkers, students are capable of tackling diverse challenges, supporting their claims with clear reasoning, and communicating their strategies effectively.",,,FL.MST.1_computational-thinking.svg
FL.MST.2,FL,FL.MST,Mathematical and Scientific Thinking,Mathematical Modeling,Use math to make predictions,"Mathematize situations, create and manipulate mathematical models to understand phenomena and make predictions",,,"Students understand, develop, and refine models that represent real-world situations. They identify key quantities, define variables, and parse the relationships among them, assessing the models' accuracy and reliability. By explaining the assumptions behind models, justifying predictions, and communicating solutions effectively, students build a strong foundation for solving complex problems, explaining their solutions, and applying them in new contexts.",,,FL.MST.2_mathematical-modeling.svg
FL.MST.3,FL,FL.MST,Mathematical and Scientific Thinking,Interpreting Data,Use data to explain relationships,"Work with quantitative data to understand, represent, and predict relationships",,,"Students analyze, interpret, apply, and communicate data effectively while recognizing and addressing data limitations. To uncover patterns, make predictions, and support scientific claims, they leverage various data tools and techniques such as spreadsheets for data organization, statistical software for regression analysis, and coding languages for data modeling. Students also use data visualization tools to create visual representations that present complex information in clear, accurate, and compelling ways to inform designs, support decision-making, and communicate in the language of data.",,,FL.MST.3_interpreting-data.svg
FL.MST.4,FL,FL.MST,Mathematical and Scientific Thinking,Scientific Investigation,Explore questions using scientific concepts,Plan and conduct powerful investigations exploring and using scientific concepts,,,"Students master the scientific method, from identifying key variables and testing hypotheses to collecting and analyzing high-quality data. They evaluate relationships between variables, distinguishing correlation from causation, and use this knowledge to model complex systems. With these skills, students design rigorous investigations that yield reliable evidence for informed predictions and decision-making.",,,FL.MST.4_scientific-investigation.svg
GC.IS.1,GC,GC.IS,Interpersonal Skills,Healthy Relationships,Build and maintain healthy relationships,Build and maintain healthy relationships,,,"Students balance their own needs and boundaries with those of others, making thoughtful choices to nurture and sustain relationships. By continually refining their communication and social skills, students build strong, positive connections with peers, teachers, and mentors. These skills not only support their personal growth but also lead to meaningful, lasting relationships that enhance their future opportunities.",,,GC.IS.1_healthy-relationships.svg
GC.IS.2,GC,GC.IS,Interpersonal Skills,Negotiating Conflict,Negotiate solutions to conflict,Employ strategies for negotiation in interpersonal conflicts,,,"Students learn to transform disagreements into opportunities for growth by mastering effective conflict negotiation. Students identify core issues and listen actively to all perspectives. They share their viewpoints respectfully, and work toward collaboration and compromise. Even when tensions escalate, students maintain calm and seek common ground.",,,GC.IS.2_negotiating-conflict.svg
GC.IS.3,GC,GC.IS,Interpersonal Skills,Building Empathy,Cultivate my understanding of others,Cultivate empathy for others,,,"Students actively consider and question their own assumptions, showing care for others’ emotions and perspectives, and building meaningful connections across different identities. By reflecting on how their words and actions impact others, students create more inclusive, respectful, and supportive environments.",,,GC.IS.3_building-empathy.svg
GC.IS.4,GC,GC.IS,Interpersonal Skills,Productive Collaboration,Work productively with a group,Engage in productive group work,Work Better Together for Greater Success,Working well with a diverse team means being able to contribute in a way that helps everyone achieve more together.,"Productive collaborators set shared goals, communicate well, and ensure everyone knows their responsibilities. Trust is key. Team members should respect others’ viewpoints and feel comfortable sharing ideas. An effective team checks in regularly to assess how well they're working together, and makes changes if necessary to stay focused and on track.",What Is Productive Collaboration?,,GC.IS.4_productive-collaboration.svg
GC.SA.1,GC,GC.SA,Social Awareness,Diverse Perspectives,Recognize the value of differences,Recognize and act upon the importance of diverse perspectives,,,"Collaborating with individuals from different backgrounds enriches the learning experience, strengthens students' ability to tackle complex challenges, and leads to better outcomes. By seeking out people with varied viewpoints and critically identifying, assessing, and challenging their own biases, students foster self-awareness and become more inclusive thinkers and communicators, better prepared to navigate and contribute to an increasingly diverse and interconnected world.",,,GC.SA.1_diverse-perspectives.svg
GC.SA.2,GC,GC.SA,Social Awareness,Navigating Power,Read and manage social dynamics,Critically read social situations in a variety of contexts,,,"Learners are able to identify those who hold power in social, political, cultural, and economic contexts, and can explain how that power impacts individual experiences and institutional relationships. They can think critically about current power structures and whether and how those might be changed.",,,GC.SA.2_navigating-power.svg
GC.SAg.1,GC,GC.SAg,Social Agency,Community Advocacy,Advocate for myself and others,Engage with my community to advocate for my own and others’ rights,,,"Students understand power dynamics and choose effective ways to advocate for change. Students also learn to communicate their ideas clearly across mediums, refining their message to better expose unfair practices and beliefs.",,,GC.SAg.1_community-advocacy.svg
GC.SAg.2,GC,GC.SAg,Social Agency,Community Mobilization,Inspire and organize others,Recognize and act upon my capacity to mobilize others for the benefit of my communities,,,"Students can create meaningful improvements in their communities, pursuing efforts that are both effective and inclusive. They explore the skills and mindsets necessary to develop, evaluate, and refine their advocacy efforts. Building trusting relationships, collaborating across diverse groups, and using data-driven strategies to remove systemic barriers, students effectively drive action.",,,GC.SAg.2_community-mobilization.svg
LL.SAw.1,LL,LL.SAw,Self-Awareness,Wellness,Understand my physical and emotional health,"Understand measures of (and feel connected to) my own physical, intellectual, social, and emotional wellness",,,"Students can understand and manage their emotions, thoughts, and physical reactions, helping them navigate challenges and grow from new experiences. They recognize their personal needs, identify patterns in how different situations affect them, and develop strategies to meet those needs effectively. By understanding how their identities shape who they are, students build confidence and resilience, ensuring their well-being across all aspects of life.",,,LL.SAw.1_wellness.svg
LL.SAw.2,LL,LL.SAw,Self-Awareness,Managing Conflict,Cope constructively with conflict,Productively recognize personal experience of conflict,,,"Students manage conflicts by thoughtfully addressing tension and constructively navigating differences. They become aware of their own and others’ physical, mental, and emotional reactions during a conflict, applying strategies to stay calm and remain productive. Students also explore the deeper forces driving conflicts, enabling them to address root causes rather than just surface-level disagreements.",,,LL.SAw.2_managing-conflict.svg
LL.SAw.3,LL,LL.SAw,Self-Awareness,Understanding Self,Know my strengths and areas for growth,"Identify strengths, interests, and growth areas for learning",,,"Students reflect on their strengths and difficulties, using this awareness to confidently learn new material, navigate new tasks, and overcome obstacles. By recognizing how their skills and mindsets have shaped their journey, students develop a clear vision for their post high school future, making them better equipped to succeed personally and professionally. This self-awareness fosters resilience and growth, laying a strong foundation for lifelong learning and achievement.",,,LL.SAw.3_understanding-self.svg
LL.SD.1,LL,LL.SD,Self-Directed Learning,Self-Motivation,Nurture a sense of purpose,Explore and use my own sources of motivation,,,"Students take control of their learning by creating conditions that boost their engagement and success. By aligning their work with personal interests and goals, they make learning relevant and meaningful. They learn to recognize and recreate the learning conditions that bring them joy, building a lifelong passion for learning.",,,LL.SD.1_self-motivation.svg
LL.SD.2,LL,LL.SD,Self-Directed Learning,Wayfinding,Navigate my learning path,Recognize and pursue the best path forward for my learning,,,"Wayfinders are self-reliant, resilient, and can adapt to life’s ups and downs. They know how to set personal goals, identify key resources, make decisions based on real-time feedback, and uncover hidden opportunities in the most unexpected places.",,,LL.SD.2_wayfinding.svg
LL.SD.3,LL,LL.SD,Self-Directed Learning,Self-Advocacy,Seek out the support I need,Advocate for my success,,,"Students identify and connect with key allies who can support their success. By learning to communicate persuasively and seek mentorship, students build a strong network around their personal and professional goals. This skill not only helps them navigate challenges but also transforms opportunities, ensuring they have the support and guidance needed to craft and achieve their vision of success.",,,LL.SD.3_self-advocacy.svg
LL.SM.1,LL,LL.SM,Self-Management,Receiving Feedback,Seek and act on feedback from others,Seek and act on feedback,Listen and Learn to Grow,"By actively seeking, attentively listening, and thoughtfully assessing feedback from others, we surpass the limits of our own perspectives and accelerate our learning.","Whether it’s for assignments, work, or relationships, feedback is crucial for learning and growth. To benefit from feedback, we need to listen, reflect, and take action. This process allows us to grow in ways we can't achieve on our own. By being open to feedback, we reduce biases and gain valuable insights from others.",What Is Receiving Feedback?,,LL.SM.1_receiving-feedback.svg
LL.SM.2,LL,LL.SM,Self-Management,Pursuing Goals,Set goals and work to achieve them,Demonstrate the ability to understand my current status relative to my goals,,,"Students effectively manage resources, create actionable plans, and adapt their strategies when faced with challenges. By honing these abilities, students learn to navigate obstacles and set a clear path toward their future success, both in school and beyond. They can take ownership of their goals, ensuring they are well-prepared for the demands of postsecondary life and their professional careers.",,,LL.SM.2_pursuing-goals.svg
LL.SM.3,LL,LL.SM,Self-Management,Self-Regulation,Manage emotions and behavior,Effectively regulate my own emotions and thoughts,,,"Students effectively manage their emotions and reactions in challenging situations. Through self-monitoring, they apply mindful strategies to stay focused and process their emotions. By practicing self-reflection, they identify emotional patterns, anticipate their responses, and prepare to handle situations with composure. This competency is crucial for helping students build resilience and emotional intelligence, setting them up for success in both personal and professional life.",,,LL.SM.3_self-regulation.svg
