id,competency_id,competency_name,learner_outcome_id,name,description,example,progression_level_1_emerging,progression_level_2_developing,progression_level_3_proficient,progression_level_4_applying
FK.AC.1.a,FK.AC.1,Artistic Expression,FK,Power of art,"Students experience and identify art, reflecting on how different movements, artists, and artworks resonate with them. They discuss art both in conversation and writing, and analyze how communities and individuals use art to express ideas, emotions, and beliefs. Students develop an appreciation for art as a mode of communication and for the powerful role art plays in society.","A student studies propaganda art from WWII, including photographs, posters, and newsreels, and reflects on how these works conveyed powerful messages of unity and hope. They analyze how the imagery mobilized homefront support for troops overseas. The student curates an exhibit in the school library, showcasing how art influenced public opinion during the war. As part of the exhibit, they create an interactive element inviting students to post their reactions to the art, fostering engagement and deeper reflection on its impact.","I can identify art, and describe how I experience it.",I can identify art and discuss art orally and in writing.,I describe and discuss how different pieces of art make me feel and/or what they make me think about.,"I analyze how specific artworks have been used by individuals and/or communities to express their ideas, experiences, feelings, and/or beliefs."
FK.AC.1.b,FK.AC.1,Artistic Expression,FK,Making art,"Students explore why people create art, understanding how it expresses lived experiences and communities. They practice and refine their own artistic abilities, conceptualizing and drafting works that reflect their own ideas or realities. They produce, perform, or present artistic expressions that represent their communities, using their creativity to communicate outwardly and connect with others through art.","A student writes and performs a monologue about losing a parent to cancer, exploring themes of grief, resilience, and memory. They collaborate with their drama teacher to refine the emotional depth of the piece. After rehearsing and receiving feedback from classmates, the student performs at a schoolwide showcase. The performance resonates with the audience, prompting other students who have also experienced loss to come forward and create an afterschool support group, realizing they are not alone in their grief.","I understand and can describe why people generate and conceptualize artistic ideas and works of visual and performing arts (e.g., to express or reflect their lived realities or communities).",I can practice and improve my creative capacity in the arts.,"I conceptualize or draft an artistic work or idea that reflects or expresses my lived reality, ideas, or communities.","I perform, produce, or direct engaging artistic expressions or work through interpretation and presentation that reflect the lived realities and intellectual ideas of myself and/or my communities."
FK.AC.1.c,FK.AC.1,Artistic Expression,FK,Art and community,"Students explore diverse art forms and genres across cultures and communities, developing and expressing an appreciation for varied artistic traditions. They search out and actively support the arts in their own communities and beyond, through attendance, promotion, or engagement. They collaborate with others to create and curate artwork that reflects community values, using art as a tool to connect and inspire.","At a teacher’s suggestion, a student attends a local poetry reading featuring diverse voices from their community. The student writes a reflective piece on how the poems expressed the lived realities of different cultural groups. Inspired by the event, the student promotes the next reading on social media, recognizing the role of the arts in fostering understanding within the community. With fellow students intrigued by the social media post, the student then starts their own slam poetry club with help of their teacher.",I can explore diverse forms and genres of artwork across different cultures and communities.,I can express/show an appreciation of/for diverse forms and genres of artwork across different cultures and communities.,"I show appreciation and support (e.g., promotion, attendance, experience) for the arts in my local communities or the communities of others.",I collaborate and connect with others inside and outside my communities to curate and draft artwork that represents the community’s values.
FK.AC.2.a,FK.AC.2,Art Analysis,FK,Art history,"Students explore current and historical works of art, identifying movements and pieces that capture their interest and developing the vocabulary to explain why those pieces speak to them. They research and analyze the context and techniques behind specific works to understand how and why they were made, comparing them across periods and connecting their own creations and others’ to broader artistic traditions.","A student researches the influence of Ancient Greek sculpture on modern art, beginning with iconic works such as the Venus de Milo and Discobolus. They highlight the idealized human forms, and the application of the mathematical principle of the Golden Ratio. The student explains how this ratio, frequently used by Greek sculptors and architects to achieve balance and beauty, reappears in modern sculptures, contemporary architectures, and the student’s own drawings, linking the visual arts with mathematics and modern design.",I can describe current and historical works of art and artistic movements and find specific examples that interest me.,I can perform artistic and historical research and analysis to explore how and why specific pieces of art were made in certain ways.,"I analyze and describe the characteristics (stylistic choices and their desired effect) and defining details (materials, techniques, practices, etc.) of historical artworks and movements.","I compare, contrast, and classify historical and contemporary artistic concepts, styles, and techniques to better place my work and the works of others into a larger context."
FK.AC.2.b,FK.AC.2,Art Analysis,FK,Trends in art,"Students identify and describe art from a variety of historical periods and movements. They compare and contrast these works, exploring how social, political, and technological contexts influenced their creation. As they analyze artworks through cultural, sociological, or literary lenses, they learn to evaluate artistic ideas in relation to their broader contexts, uncovering connections between art and other areas of knowledge to deepen their understanding.","A student examines gravestones from the 18th and 19th centuries, identifying the shift from skull-and-crossbones motifs (representing death) to angelic figures and flowers (symbolizing hope). They connect these changes to the Romantic movement’s influence on religious practice in general and funerary customs in particular. For their final project, the student organizes a guided cemetery tour, highlighting gravestones from different eras. Along the route, they explain how pollution affects marble and slate differently, integrating environmental science into their analysis of artistic and cultural shifts.","I can identify art from varied historical periods (e.g., Prehistoric, Baroque, Conceptual, Contemporary, etc.) and movements (e.g., Modern, Impressionist, Surrealist, Dadaism, Pop Art, High Renaissance, Constructivist, etc.).","I can compare and contrast art from varied historical periods and movements, and give examples of how specific works of art may have been influenced by social and/or political dynamics, environmental contexts, technologies, lived experiences, etc.","I formulate sociological, cultural, and/or literary explorations and analyses of artworks from varied historical periods or movements.",I evaluate artistic ideas and works in terms of their external context to synthesize patterns and relationships between the arts and other forms of knowledge.
FK.AC.2.c,FK.AC.2,Art Analysis,FK,Art and society,"Students recognize how artworks and artistic movements shape and are shaped by various communities. They explore the connections between art and a community’s religion, politics, or ideologies, and analyze the mutual influence of art and different cultures. Students identify and evaluate local and national art trends, finding opportunities to create artwork that fosters positive social change.","A student analyzes how artists respond to major global events, such as hurricanes, wildfires, or other natural disasters. The student compares how the artworks reflect environmental policies and public attitudes in different countries or regions. Through this lens, the student draws conclusions about how artistic expression, informed by history and culture, becomes a form of political commentary.","I can recognize the roles and impacts that artworks, art forms, or artistic movements can have on different communities (ethnic, religious, etc.).","I can give examples of relationships between artworks, art forms, or artistic movements and different communities’ religions, myths, politics, languages, and/or ideologies.","I analyze the role and impact artworks, art forms, or artistic movements have on different communities.","I evaluate local, regional, and national art trends and practices and identify where one could create an artwork that seeks to create positive social change within a community or society."
FK.SS.1.a,FK.SS.1,Governments,FK,Role of government,"Students learn the role of governments and how they differ worldwide, examining the historical, philosophical, and legal contexts from which governmental structures emerge. They explore how governments reflect the ideas of political thinkers, why governments evolved into their current forms, and analyze how foundational principles influence both historical and modern governance. Using this understanding, they evaluate the outcomes of policies and advocate for fairer representation and more equitable government policies.","Students compare the UK parliamentary system to the US republican system. They explore how both systems reflect Enlightenment principles, with thinkers like John Locke shaping the approach to individual rights and government authority. They examine how the UK’s system evolved alongside its monarchy, versus the US model developed in opposition to royal rule. Students analyze pros and cons of each, then design a hybrid system by combining elements from both countries that they believe would provide optimal representation for individual citizens.","I can identify the roles, duties, and mechanisms of different governments across the world.","I can describe how different governments have taken root in different places, and how they reflect the thinking of influential thinkers (e.g., philosophers, lawyers, politicians, etc.).","I evaluate the outcomes of different governments and policies (at local, regional, national, and international levels) and how they are based on philosophical, historical, and legal precedents.","I advocate for more equitable policy and representation in local, regional, national, and international governments using philosophical, historical, and legal precedents."
FK.SS.1.b,FK.SS.1,Governments,FK,Rights of individuals,"Students identify different worldviews on individual rights and duties. They compare these perspectives, seeing how they vary across jurisdictions, locations, and cultures. Learners analyze and evaluate these viewpoints, understanding how they are derived from different philosophical, historical, and legal precedents. They use this knowledge to advocate for individual rights and duties based on these foundational ideas.","A student compares Soviet Communism with American Democracy, focusing on civil liberties. They explore how the Soviet Union offered more gender equality, but only achieved this through repression of individual rights and state control. In contrast, the US prioritized individual rights in areas like free speech and assembly, but struggled with gender discrimination. The student analyzes how each system balances civil liberties and concludes by advocating for the full complement of individual freedoms enshrined in modern democracies over the top-down equalizing function of authoritarian communism.",I can identify and describe the differences between various worldviews about the rights and duties of individuals.,"I can compare and contrast specific perspectives on the rights and duties of individuals found in philosophical, historical, and legal precedents.","I analyze and evaluate different perspectives on the rights and duties of individuals using supporting evidence of philosophical, historical, and legal precedents.","I advocate for the rights and duties of individuals using philosophical, historical, and legal precedents."
FK.SS.1.c,FK.SS.1,Governments,FK,Public policy,"Learners recognize examples of government policies and their intended and unintended outcomes. They describe these outcomes and parse the difference between policies and their implementation. After evaluating current policies and considering their impacts and consequences, students craft persuasive arguments on how public policies should be designed to achieve optimal outcomes.","A student studies the Volstead Act and its role in enforcing Prohibition. They analyze the intended outcome of reducing alcohol consumption and crime, but also discover far more unintended consequences, such as the rise of organized crime and illegal speakeasies which increased rather than prevented alcohol consumption and commerce. After evaluating these outcomes, the student crafts an argument on how better public policy design, such as regulating alcohol instead of banning it, can achieve more effective results with fewer negative impacts.",I can give examples of different instances where governments have established policies that had intended and unintended outcomes.,I can describe the intended and unintended outcomes of different past government policies and how they might have been implemented differently to improve outcomes.,I evaluate current public policies in terms of intended and unintended outcomes and related consequences.,I construct compelling arguments regarding the details of how various types of public policies should be developed to achieve optimal outcomes.
FK.SS.2.a,FK.SS.2,Politics,FK,Influencing government,"Students understand the roles of and relationships among governmental, social, non-governmental, and other legal entities. They explore how people interact with these systems and develop strategies to address real-world issues. Students leverage mechanisms to address, challenge, and change inequities, creating real impact in their schools and communities.","A student explores help available for the unhoused in their community, mapping out different institutions and how they interact, overlap, or conflict: local government agencies providing public housing and social services, nonprofits offering shelters and meal programs, and local laws that impact root causes. The student develops an advocacy plan by identifying allies among housing agencies, fellow students, and community members and applies pressure by presenting a petition for more shelter space to the city council.","I can describe the differences between types of governmental, social, non-profit, and legal structures and give examples.","I can analyze how people use, interact with, and seek to change governmental, social, and legal structures.","I analyze mechanisms within governmental, social, and legal structures to identify where one could apply pressure to create change, and create associated plans and strategies.",I identify and practice exploiting mechanisms within governmental and other social structures where I am able to apply pressure to create change.
